time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447850000	20.2799	11.1394	4.86648	1.42346	0.48526	radar	4.75156	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3153	11.3738	4.86	1.44587	0.483573	lidar	0.0362458	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2583	11.6261	4.84593	1.52589	0.576414	radar	10.8392	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3316	11.8623	4.84904	1.52848	0.547636	lidar	4.63888	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.357	12.0973	4.84923	1.53251	0.499956	radar	3.72465	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3474	12.3706	4.88213	1.56594	0.507081	lidar	0.914807	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.296	12.6116	4.86997	1.6264	0.569169	radar	3.30848	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3212	12.8503	4.86681	1.63834	0.551643	lidar	1.79249	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3068	13.0849	4.85759	1.6661	0.556205	radar	2.14302	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2703	13.3021	4.83122	1.6971	0.56125	lidar	1.22261	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2305	13.5382	4.82913	1.72365	0.554078	radar	1.32587	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2124	13.7902	4.84293	1.74304	0.544394	lidar	1.17036	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1547	14.0204	4.83497	1.7807	0.564251	radar	0.90048	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1018	14.2691	4.84943	1.80835	0.562757	lidar	0.263331	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0294	14.4987	4.84609	1.84002	0.564911	radar	1.41469	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9242	14.7449	4.86867	1.88164	0.577617	lidar	1.20237	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8566	14.9657	4.85583	1.89877	0.552913	radar	3.43914	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8233	15.1879	4.83653	1.90928	0.536146	lidar	2.16513	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6889	15.3993	4.83339	1.98673	0.637755	radar	7.86989	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6536	15.5977	4.79002	1.99672	0.61744	lidar	3.87707	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5566	15.8074	4.7808	2.02354	0.609392	radar	1.43972	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4542	16.0181	4.7761	2.05239	0.607994	lidar	0.0278626	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3509	16.2291	4.77185	2.06769	0.574684	radar	1.89715	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
